Model,Test_R2,Test_RMSE,Test_MAE,CV_Mean_R2
Linear Regression,0.32828795749716744,2.769117242200884,2.076901347402816,0.21756803511148842
Random Forest,0.3170579470773177,2.7921690219652215,2.07525,0.16600461669991756
Gradient Boosting,0.34178711827775055,2.741151034454562,1.9993274317586147,0.1460159264761814
